frame,dir,touch,is_oos,rolling,triggered,delay,rr_trigger,we,R,label,MFE,MAE,p025,p05
4H,SHORT,2025-02-07 13:30:00+00:00,True,True,True,9,2.863932577086878,46.001391735398066,1.939958274787435,OPEN,2.170101607787676,0.896050081704081,1.0,6.0
4H,SHORT,2025-02-10 08:00:00+00:00,True,True,True,1,2.8794776665004638,51.599972505504034,0.161450807266415,OPEN,1.506960402418256,0.430354961449051,26.0,128.0
4H,SHORT,2025-02-09 03:30:00+00:00,True,True,True,2,2.9660781652324215,43.51365285274335,0.11875060271479883,OPEN,0.9833878838581512,0.45370576821439373,37.0,70.0
4H,SHORT,2025-02-10 00:00:00+00:00,True,True,True,1,2.547256605745725,37.26331903236203,-1.0,SL,2.1596567719205755,1.4844278267912516,3.0,4.0
4H,SHORT,2025-02-12 16:45:00+00:00,True,True,True,6,2.684278913573117,60.84972779468218,-1.0,SL,1.0674899195967558,1.1525969492241293,3.0,49.0
4H,SHORT,2025-02-13 21:30:00+00:00,True,True,True,1,2.5277815067410967,60.65691968273109,-1.0,SL,2.17577756583611,1.4183914079480267,4.0,317.0
4H,LONG,2025-02-14 21:00:00+00:00,True,True,True,1,2.434769158870002,38.03411033165903,-1.0,SL,0.7226475305512801,2.0760217315625744,1.0,15.0
4H,LONG,2025-02-16 08:45:00+00:00,True,True,True,2,2.796879267117605,30.2936121821914,-1.0,SL,1.3785684088135357,3.310991000699728,395.0,403.0
4H,SHORT,2025-02-17 14:00:00+00:00,True,True,True,1,2.179275740155534,69.17539384547875,3.0,TP3,3.8802662332639617,2.96289365143203,0.0,5.0
4H,SHORT,2025-02-18 13:00:00+00:00,True,True,True,1,2.7015575473805313,69.90108522542721,3.0,TP3,3.121782080471587,3.3208372544585605,5.0,5.0
4H,LONG,2025-02-21 17:45:00+00:00,True,True,True,2,2.3391782155321907,40.17734287556644,-1.0,SL,0.33900302827935364,10.731625508233545,0.0,
4H,SHORT,2025-03-02 16:15:00+00:00,True,True,False,999,,61.49184979297478,-1.0,SL,3.667147458061341,2.740568128960975,,
4H,SHORT,2025-03-01 02:45:00+00:00,True,True,True,0,2.461865797833409,79.72706823173654,-1.0,SL,1.681846978916859,3.589642389754204,1.0,42.0
4H,SHORT,2025-03-01 16:45:00+00:00,True,True,True,1,2.6873921714120645,54.55162514667168,-1.0,SL,1.79569333049309,4.410618639153243,226.0,226.0
4H,LONG,2025-03-03 18:15:00+00:00,True,True,False,999,,64.30747834902691,-1.0,SL,1.079172820534275,1.9761759118091853,,
4H,SHORT,2025-03-04 18:45:00+00:00,True,True,True,23,2.9668534217186804,72.49579503290224,0.5555567806046345,OPEN,0.6197824340130084,0.8587462098218676,193.0,439.0
4H,LONG,2025-03-07 00:15:00+00:00,True,True,True,5,2.2607202439534952,40.65912015762698,-1.0,SL,0.6183929087500347,1.7265500867345227,0.0,53.0
