symbol,date,bin,buy_usdt,sell_usdt,net_cvd_usdt,ncvd,buy_count,sell_count
AAVEUSDT,2026-03-30,R2,809569.7622,980648.8979,-171079.1357,-9.556326,454,489
AAVEUSDT,2026-03-30,W,246235.682,0.0,246235.682,100.0,1,0
AAVEUSDT,2026-03-31,M,100827.5443,88188.0554,12639.4889,6.687008,6,4
AAVEUSDT,2026-03-31,R1,1880808.801,1986145.8035,-105337.0025,-2.72403,23542,26102
AAVEUSDT,2026-03-31,R2,832734.7962,795928.4795,36806.3167,2.25991,401,389
AAVEUSDT,2026-04-01,M,227188.5981,288047.0677,-60858.4696,-11.811773,5,13
AAVEUSDT,2026-04-01,R1,2082960.4564,2023819.1761,59141.2803,1.440089,21032,21924
AAVEUSDT,2026-04-01,R2,1343227.0216,1362388.2826,-19161.261,-0.708203,728,731
AAVEUSDT,2026-04-02,M,120219.5346,73556.6392,46662.8954,24.080822,7,3
AAVEUSDT,2026-04-02,R1,1917664.7033,2268666.0185,-351001.3152,-8.384462,20554,26398
AAVEUSDT,2026-04-02,R2,1022096.2122,1107993.3388,-85897.1266,-4.032559,575,650
AAVEUSDT,2026-04-03,M,48524.7327,12681.6853,35843.0474,58.56093,2,1
AAVEUSDT,2026-04-03,R1,876117.2803,984848.6659,-108731.3856,-5.842739,11074,9490
AAVEUSDT,2026-04-03,R2,332138.6079,333873.4881,-1734.8802,-0.260488,180,157
AAVEUSDT,2026-04-04,M,0.0,99018.6847,-99018.6847,-100.0,0,6
AAVEUSDT,2026-04-04,R1,610319.1266,506121.1768,104197.9498,9.333052,6115,5137
AAVEUSDT,2026-04-04,R2,292202.4681,296771.1949,-4568.7268,-0.77571,126,127
AAVEUSDT,2026-04-05,M,329869.8978,421785.2044,-91915.3066,-12.228389,13,13
AAVEUSDT,2026-04-05,R1,1957785.9888,1789985.3124,167800.6764,4.477346,14498,14307
AAVEUSDT,2026-04-05,R2,975478.0327,994435.2256,-18957.1929,-0.962336,496,455
AAVEUSDT,2026-04-05,W,145430.5774,114064.82,31365.7574,12.087211,1,1
AAVEUSDT,2026-04-06,M,125574.1085,217645.3979,-92071.2894,-26.825774,9,11
AAVEUSDT,2026-04-06,R1,2546971.9934,2712862.9001,-165890.9067,-3.153919,24669,22358
AAVEUSDT,2026-04-06,R2,1367283.3216,1746273.3225,-378990.0009,-12.172253,737,923
AAVEUSDT,2026-04-07,M,649279.3236,1506758.8664,-857479.5428,-39.771074,28,70
AAVEUSDT,2026-04-07,R1,5636002.6311,6260902.278,-624899.6469,-5.252624,41008,47520
AAVEUSDT,2026-04-07,R2,4394241.087,5463118.616,-1068877.529,-10.843447,1976,2418
AAVEUSDT,2026-04-07,W,256888.506,0.0,256888.506,100.0,1,0
AAVEUSDT,2026-04-08,M,457651.6638,524969.537,-67317.8732,-6.850847,16,22
AAVEUSDT,2026-04-08,R1,2235181.2056,2682811.1488,-447629.9432,-9.101884,22120,21808
AAVEUSDT,2026-04-08,R2,2126145.519,3031252.6592,-905107.1402,-17.549685,1039,1363
AAVEUSDT,2026-04-09,M,121183.4461,298156.6898,-176973.2437,-42.202792,6,14
AAVEUSDT,2026-04-09,R1,2528558.3784,2200402.3324,328156.046,6.939285,20410,21876
AAVEUSDT,2026-04-09,R2,2342002.9313,1890201.6759,451801.2554,10.675317,1234,984
AAVEUSDT,2026-04-10,M,147186.2037,171763.725,-24577.5213,-7.705762,4,7
AAVEUSDT,2026-04-10,R1,2486707.1343,2268652.0975,218055.0368,4.585459,23410,18638
AAVEUSDT,2026-04-10,R2,1726066.1464,1692539.0862,33527.0602,0.980723,936,904
AAVEUSDT,2026-04-11,M,183133.0012,197023.6502,-13890.649,-3.653928,7,11
AAVEUSDT,2026-04-11,R1,2449244.6323,2488277.0453,-39032.413,-0.790526,22825,17491
AAVEUSDT,2026-04-11,R2,1202023.5972,2184036.1127,-982012.5155,-29.00163,680,1129
AAVEUSDT,2026-04-12,M,51524.5115,280765.0065,-229240.495,-68.988181,4,20
AAVEUSDT,2026-04-12,R1,2213532.1706,2519284.1122,-305751.9416,-6.460254,17269,25338
AAVEUSDT,2026-04-12,R2,2098734.4337,2040354.9499,58379.4838,1.410443,1049,994
AAVEUSDT,2026-04-13,M,672394.6821,390926.0886,281468.5935,26.470713,33,20
AAVEUSDT,2026-04-13,R1,5980372.8357,6121755.9533,-141383.1176,-1.16825,47156,44579
AAVEUSDT,2026-04-13,R2,6577700.4893,5056937.9306,1520762.5587,13.070991,3429,2724
AAVEUSDT,2026-04-13,W,0.0,103887.918,-103887.918,-100.0,0,1
AAVEUSDT,2026-04-14,M,558311.1892,496114.3161,62196.8731,5.89865,24,24
AAVEUSDT,2026-04-14,R1,4198572.0701,4718493.6069,-519921.5368,-5.830635,31266,30561
AAVEUSDT,2026-04-14,R2,2625394.3375,3613859.6874,-988465.3499,-15.842685,1354,1754
AAVEUSDT,2026-04-14,W,418295.25,0.0,418295.25,100.0,3,0
AAVEUSDT,2026-04-15,M,330788.0218,262238.7263,68549.2955,11.559225,19,15
AAVEUSDT,2026-04-15,R1,5788331.3882,5696545.0835,91786.3047,0.799193,43446,40545
AAVEUSDT,2026-04-15,R2,4636018.2663,4783521.35,-147503.0837,-1.565927,2476,2644
AAVEUSDT,2026-04-15,W,0.0,144684.9496,-144684.9496,-100.0,0,1
AAVEUSDT,2026-04-16,M,585626.2382,612663.3429,-27037.1047,-2.256308,27,27
AAVEUSDT,2026-04-16,R1,7872249.0977,8235728.8527,-363479.755,-2.25652,63359,60450
AAVEUSDT,2026-04-16,R2,6825716.9271,6522254.8764,303462.0507,2.273469,3552,3632
AAVEUSDT,2026-04-17,M,522949.388,605915.1472,-82965.7592,-7.349488,23,30
AAVEUSDT,2026-04-17,R1,6827237.6465,7206001.1699,-378763.5234,-2.699046,51274,50997
