hour_utc,symbol,bin,buy_usdt,sell_usdt,buy_count,sell_count
2026-09-03T04:00:00Z,SOLUSDT,W,0.0,0.0,0,0
2026-09-03T04:00:00Z,SUIUSDT,M,209534.84310000003,238986.60342000003,12,11
2026-09-03T04:00:00Z,SUIUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,SUIUSDT,R1,319359.3000799995,271075.8179199998,1324,1399
2026-09-03T04:00:00Z,SUIUSDT,R2,744754.0592500003,817768.0437700008,325,298
2026-09-03T04:00:00Z,SUIUSDT,W,0.0,0.0,0,0
2026-09-03T04:00:00Z,TAOUSDT,M,27053.241560000002,11037.94752,1,1
2026-09-03T04:00:00Z,TAOUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,TAOUSDT,R1,54889.765100000004,43350.60312999996,367,198
2026-09-03T04:00:00Z,TAOUSDT,R2,115062.83441000002,66586.16567000003,41,29
2026-09-03T04:00:00Z,TAOUSDT,W,0.0,0.0,0,0
2026-09-03T04:00:00Z,UNIUSDT,M,129939.45513999999,40380.64286,7,2
2026-09-03T04:00:00Z,UNIUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,UNIUSDT,R1,479088.4528300024,349633.56995999976,4292,1231
2026-09-03T04:00:00Z,UNIUSDT,R2,352537.6376100001,644715.1225000004,155,367
2026-09-03T04:00:00Z,UNIUSDT,W,0.0,0.0,0,0
2026-09-03T04:00:00Z,XLMUSDT,M,0.0,0.0,0,0
2026-09-03T04:00:00Z,XLMUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,XLMUSDT,R1,44195.5914,25335.398400000013,210,135
2026-09-03T04:00:00Z,XLMUSDT,R2,116734.67549999997,86870.7072,48,34
2026-09-03T04:00:00Z,XLMUSDT,W,0.0,0.0,0,0
2026-09-03T04:00:00Z,XRPUSDT,M,895133.4332000001,716997.59326,48,43
2026-09-03T04:00:00Z,XRPUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,XRPUSDT,R1,469330.8802099983,363856.0523200003,2649,1741
2026-09-03T04:00:00Z,XRPUSDT,R2,1603873.8176199999,1513186.837570002,492,470
2026-09-03T04:00:00Z,XRPUSDT,W,0.0,0.0,0,0
2026-09-03T04:00:00Z,ZECUSDT,M,11834.69616,85197.09100000001,1,2
2026-09-03T04:00:00Z,ZECUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,ZECUSDT,R1,644189.134069998,580841.0002999988,3173,2852
2026-09-03T04:00:00Z,ZECUSDT,R2,495367.44469,439829.5551800004,219,182
2026-09-03T04:00:00Z,ZECUSDT,W,0.0,0.0,0,0
2026-09-03T05:00:00Z,AAVEUSDT,M,70650.39223,58142.19377,4,3
2026-09-03T05:00:00Z,AAVEUSDT,MW,0.0,0.0,0,0
2026-09-03T05:00:00Z,AAVEUSDT,R1,302911.84798,252089.9474399998,1939,1654
2026-09-03T05:00:00Z,AAVEUSDT,R2,168107.84254,105432.87406000003,73,55
2026-09-03T05:00:00Z,AAVEUSDT,W,0.0,0.0,0,0
2026-09-03T05:00:00Z,AVAXUSDT,M,48885.12886999999,10297.88144,3,1
2026-09-03T05:00:00Z,AVAXUSDT,MW,0.0,0.0,0,0
2026-09-03T05:00:00Z,AVAXUSDT,R1,211749.2991500002,147790.7427199999,1226,870
2026-09-03T05:00:00Z,AVAXUSDT,R2,393276.8774000002,262226.71397,175,118
2026-09-03T05:00:00Z,AVAXUSDT,W,0.0,0.0,0,0
2026-09-03T05:00:00Z,CAKEUSDT,M,0.0,0.0,0,0
2026-09-03T05:00:00Z,CAKEUSDT,MW,0.0,0.0,0,0
