time_utc,address,display_name,coin,side,position_value_usd,signed_position_value_usd,entry_px,leverage_type,leverage_value,liquidation_px,mark_price,liquidation_distance_pct,unrealized_pnl,account_value,status
2026-09-02T08:00:00Z,0xfc667adba8d4837586078f4fdcdc29804337ca06,,BTC,SHORT,10907262.15258,-10907262.15258,78534.8,cross,20.0,262278.930448827,77366.5,239.00839568653998,164794.504644,27308741.63241,ACTIVE
2026-09-02T08:00:00Z,0xfc667adba8d4837586078f4fdcdc29804337ca06,,ETH,SHORT,15733156.556897,-15733156.556897,2460.26,cross,20.0,6391.3332413823,2416.65,164.47078564882378,284451.073968,27308741.63241,ACTIVE
2026-09-02T09:00:00Z,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,MachiBigBrother,BTC,LONG,34570800.0,34570800.0,77371.5,cross,40.0,72744.1460116141,76822.5,5.308801442788122,-246379.223421,4034845.116089,ACTIVE
2026-09-02T09:00:00Z,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,MachiBigBrother,ETH,LONG,89486250.0,89486250.0,2442.64,cross,25.0,2336.967071671,2385.85,2.0488684673805855,-2112816.689666,4034845.116089,ACTIVE
2026-09-02T09:00:00Z,0x023a3d058020fb76cca98f01b3c48c8938a22355,Auros,BTC,SHORT,8459982.51543,-8459982.51543,77561.5,cross,40.0,200321.7294201093,76822.5,160.75919088822846,80220.028728,16585638.149884,ACTIVE
2026-09-02T09:00:00Z,0x023a3d058020fb76cca98f01b3c48c8938a22355,Auros,ETH,SHORT,10927927.72,-10927927.72,2445.2,cross,25.0,5332.9752090063,2385.85,123.52516750869921,271153.998334,16585638.149884,ACTIVE
2026-09-02T09:00:00Z,0x10f1d87fbb7617df5641d1c2bcb26f143f43202f,,BTC,SHORT,17272137.10464,-17272137.10464,77361.1,cross,40.0,79327.1708389017,76822.5,3.2603349785566733,120767.35363,1048914.205327,ACTIVE
2026-09-02T09:00:00Z,0x15a4f009bb324a3fb9e36137136b201e3fe0dfdb,,BTC,LONG,76824000.0,76824000.0,62353.6,cross,40.0,54613.4099449205,76822.5,28.909616395039862,14470345.11882,7639257.808759,ACTIVE
2026-09-02T09:00:00Z,0x15a4f009bb324a3fb9e36137136b201e3fe0dfdb,,ETH,LONG,23864000.0,23864000.0,1761.94,cross,20.0,148.3430939397,2385.85,93.78237969949075,6244518.96602,7639257.808759,ACTIVE
2026-09-02T09:00:00Z,0x218a65e21eddeece7a9df38c6bbdd89f692b7da2,,BTC,SHORT,40364764.7928,-40364764.7928,75908.2,isolated,8.0,86550.174743435,76822.5,12.662533428923814,-479075.155277,8360501.593879,ACTIVE
2026-09-02T09:00:00Z,0x218a65e21eddeece7a9df38c6bbdd89f692b7da2,,ETH,SHORT,22454916.3338,-22454916.3338,1938.85,cross,10.0,2835.9003452407,2385.85,18.863312665955537,-4208129.939171,8360501.593879,ACTIVE
2026-09-02T09:00:00Z,0x24fb6523036ebcb3cc51deff138066dccf6bed0f,,ETH,LONG,7025561.6,7025561.6,2390.95,cross,15.0,1723.34068091,2385.85,27.76827206613995,-13422.00316,751379.00522,ACTIVE
2026-09-02T09:00:00Z,0x45d26f28196d226497130c4bac709d808fed4029,,BTC,SHORT,32841832.5,-32841832.5,76891.9,cross,20.0,157349.8166497934,76822.5,104.82256715128173,29468.845551,23203832.1615,ACTIVE
2026-09-02T09:00:00Z,0x45d26f28196d226497130c4bac709d808fed4029,,ETH,SHORT,33153076.8,-33153076.8,2443.82,cross,20.0,4844.9312279355,2385.85,103.06939782197122,806275.264533,23203832.1615,ACTIVE
2026-09-02T09:00:00Z,0x50b309f78e774a756a2230e1769729094cac9f20,,BTC,FLAT,0.0,0.0,,,,,76822.5,,,,CLOSED_OR_BELOW_5M
2026-09-02T09:00:00Z,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,BTC,SHORT,140807087.58854,-140807087.58854,71093.4,cross,5.0,124464.8463342343,76822.5,62.01613633275967,-10499908.577818,86609936.951976,ACTIVE
2026-09-02T09:00:00Z,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,ETH,SHORT,146783298.09482,-146783298.09482,2155.53,cross,5.0,3791.9106983177,2385.85,58.933323482938995,-14166509.785833,86609936.951976,ACTIVE
2026-09-02T09:00:00Z,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,BTC,SHORT,38324159.64298,-38324159.64298,78038.7,cross,20.0,153586.7767401135,76822.5,99.92421066759543,606987.689922,43565149.327048,ACTIVE
2026-09-02T09:00:00Z,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,ETH,SHORT,68092165.91232,-68092165.91232,2130.55,cross,15.0,3715.1231560943,2385.85,55.71486707438859,-7287411.989948,43565149.327048,ACTIVE
2026-09-02T09:00:00Z,0x8ea85cbd59affca28162fc286d5c093dd0f8edbc,,BTC,LONG,76820000.0,76820000.0,72771.2,cross,4.0,48902.5974424476,76822.5,36.34339231026379,4048721.68354,18560100.762502,ACTIVE
2026-09-02T09:00:00Z,0x92ea19eceb7a8de0f50978a1583a5d8b018050e9,,BTC,LONG,143546036.39697,143546036.39697,77089.9,cross,3.0,45446.8645700294,76822.5,40.84172661651287,-483876.79916,55488693.013677,ACTIVE
2026-09-02T09:00:00Z,0x9321d8117e73b0c79035f0e87debcfd8dbb1d75a,,BTC,SHORT,7682400.0,-7682400.0,78198.8,cross,40.0,142233.3139122469,76822.5,85.14538567769455,137484.82555,7542387.40491,ACTIVE
2026-09-02T09:00:00Z,0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f,,BTC,SHORT,8648618.52096,-8648618.52096,78271.8,cross,20.0,205719.0616368473,76822.5,167.78490889628335,162992.738817,15370348.761538,ACTIVE
2026-09-02T09:00:00Z,0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f,,ETH,SHORT,9115620.6603,-9115620.6603,2397.55,cross,20.0,6156.9807288414,2385.85,158.06235634433853,43011.165161,15370348.761538,ACTIVE
2026-09-02T09:00:00Z,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,BTC,SHORT,95068615.4782,-95068615.4782,65777.5,cross,5.0,129693.5265901512,76822.5,68.82231975027004,-13667693.274072,63545964.912454,ACTIVE
2026-09-02T09:00:00Z,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,ETH,SHORT,105744413.41256,-105744413.41256,2138.37,cross,5.0,3835.1191347714,2385.85,60.74435252725024,-10966323.22247,63545964.912454,ACTIVE
2026-09-02T09:00:00Z,0xc179e03922afe8fa9533d3f896338b9fb87ce0c8,,ETH,LONG,7067406.4432,7067406.4432,1899.3,cross,4.0,,2385.85,,1441616.732699,18296005.304946,ACTIVE
2026-09-02T09:00:00Z,0xccf3fff396a14d55d93366f870c007425e9f2a75,,ETH,LONG,20782576.75024,20782576.75024,2397.72,cross,20.0,2233.4397339803,2385.85,6.388090869907999,-98619.65895,1410981.689383,ACTIVE
2026-09-02T09:00:00Z,0xd4c1f7e8d876c4749228d515473d36f919583d1d,,BTC,SHORT,15576947.3446,-15576947.3446,76502.4,cross,12.0,95776.7457029441,76822.5,24.672779072464575,-64380.388848,4625558.259055,ACTIVE
2026-09-02T09:00:00Z,0xd4c1f7e8d876c4749228d515473d36f919583d1d,,ETH,SHORT,20634322.459,-20634322.459,2492.29,cross,12.0,2827.2115974979,2385.85,18.499134375501402,919272.587111,4625558.259055,ACTIVE
2026-09-02T09:00:00Z,0xdd53c5297309130ab5fe5623dc905752e3342b13,,BTC,SHORT,14580429.3774,-14580429.3774,77270.8,cross,3.0,259586.1143436594,76822.5,237.9037578100939,83097.345673,40325263.746557,ACTIVE
2026-09-02T09:00:00Z,0xdd9f274410c8c704bdbb599dce6c4fb34be4f50a,,BTC,SHORT,39257089.35192,-39257089.35192,71157.6,cross,40.0,98341.5313092099,76822.5,28.01136556244576,-2895500.95314,4420926.355657,ACTIVE
2026-09-02T09:00:00Z,0xdf954bbe619273a56e0cfa90dad8382195dc7d72,,ETH,SHORT,23550082.6986,-23550082.6986,2251.36,cross,25.0,4437.4723050167,2385.85,85.99125280368425,-1328888.696703,4764660.330011,ACTIVE
2026-09-02T09:00:00Z,0xe2ad376800c2da03d611700ffc1d013090733c8c,,BTC,LONG,9336790.24344,9336790.24344,76499.5,cross,20.0,27348.360147327,76822.5,64.40058557411305,39430.70279,6296726.605286,ACTIVE
2026-09-02T09:00:00Z,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,BTC,SHORT,5229515.5293,-5229515.5293,76933.9,cross,20.0,607726.1913526845,76822.5,691.0783837452367,7621.022431,41749329.932475,ACTIVE
2026-09-02T09:00:00Z,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,ETH,SHORT,47047343.28584,-47047343.28584,2437.92,cross,15.0,4205.022386384,2385.85,76.24839727493348,1027876.748576,41749329.932475,ACTIVE
2026-09-02T09:00:00Z,0xedcdcaa1f18350c50c10bef860e64daa9785d05a,,ETH,LONG,47720000.0,47720000.0,1936.0,cross,4.0,1016.6709407956,2385.85,57.38747445163778,9000000.0,10411080.3625,ACTIVE
2026-09-02T09:00:00Z,0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,Bronny James,BTC,SHORT,64380627.11058,-64380627.11058,78149.2,cross,10.0,98819.66321565,76822.5,28.633750809528458,1104653.962815,20372493.632394,ACTIVE
2026-09-02T09:00:00Z,0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,Bronny James,ETH,SHORT,28564289.67932,-28564289.67932,2452.16,cross,20.0,3913.4469948294,2385.85,64.02736948380662,794547.478902,20372493.632394,ACTIVE
2026-09-02T09:00:00Z,0xfc667adba8d4837586078f4fdcdc29804337ca06,,BTC,SHORT,10967645.70578,-10967645.70578,78513.5,cross,20.0,262111.101162586,76822.5,241.19053813997985,241504.157244,27729069.920705,ACTIVE
2026-09-02T09:00:00Z,0xfc667adba8d4837586078f4fdcdc29804337ca06,,ETH,SHORT,16167687.02307,-16167687.02307,2457.87,cross,20.0,6260.9461727436,2385.85,162.41994143569798,487709.066325,27729069.920705,ACTIVE
